ID,X Force,Y Force,Z Force
101,0,0,101
102,0,0,102
103,0,0,103
104,0,0,104
105,0,0,105
106,0,0,106
107,0,0,107
108,0,0,108
109,0,0,109
110,0,0,110
111,0,0,111
112,0,0,112
113,0,0,113
114,0,0,114
115,0,0,115
116,0,0,116
117,0,0,117
118,0,0,118
119,0,0,119
120,0,0,120
121,0,0,121
122,0,0,122
123,0,0,123
124,0,0,124
125,0,0,125
126,0,0,126
127,0,0,127
128,0,0,128
129,0,0,129
130,0,0,130
131,0,0,131
132,0,0,132
133,0,0,133
134,0,0,134
135,0,0,135
136,0,0,136
137,0,0,137
138,0,0,138
139,0,0,139
140,0,0,140
141,0,0,141
142,0,0,142
143,0,0,143
207,0,0,207
208,0,0,208
209,0,0,209
210,0,0,210
211,0,0,211
212,0,0,212
214,0,0,214
215,0,0,215
216,0,0,216
217,0,0,217
218,0,0,218
219,0,0,219
220,0,0,220
221,0,0,221
222,0,0,222
223,0,0,223
224,0,0,224
225,0,0,225
227,0,0,227
228,0,0,228
229,0,0,229
230,0,0,230
231,0,0,231
232,0,0,232
233,0,0,233
234,0,0,234
235,0,0,235
236,0,0,236
237,0,0,237
238,0,0,238
239,0,0,239
240,0,0,240
241,0,0,241
242,0,0,242
243,0,0,243
301,0,0,301
302,0,0,302
303,0,0,303
304,0,0,304
305,0,0,305
306,0,0,306
307,0,0,307
308,0,0,308
309,0,0,309
310,0,0,310
311,0,0,311
312,0,0,312
313,0,0,313
314,0,0,314
315,0,0,315
316,0,0,316
317,0,0,317
318,0,0,318
319,0,0,319
320,0,0,320
321,0,0,321
322,0,0,322
323,0,0,323
324,0,0,324
325,0,0,325
326,0,0,326
327,0,0,327
328,0,0,328
329,0,0,329
330,0,0,330
331,0,0,331
332,0,0,332
333,0,0,333
334,0,0,334
335,0,0,335
336,0,0,336
337,0,0,337
338,0,0,338
339,0,0,339
340,0,0,340
341,0,0,341
342,0,0,342
343,0,0,343
407,0,0,407
408,0,0,408
409,0,0,409
410,0,0,410
411,0,0,411
412,0,0,412
414,0,0,414
415,0,0,415
416,0,0,416
417,0,0,417
418,0,0,418
419,0,0,419
420,0,0,420
421,0,0,421
422,0,0,422
423,0,0,423
424,0,0,424
425,0,0,425
427,0,0,427
428,0,0,428
429,0,0,429
430,0,0,430
431,0,0,431
432,0,0,432
433,0,0,433
434,0,0,434
435,0,0,435
436,0,0,436
437,0,0,437
438,0,0,438
439,0,0,439
440,0,0,440
441,0,0,441
442,0,0,442
443,0,0,443
